Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
37	3.027027027027027	112	65	47	0
35	3.0285714285714285	106	59	47	0
38	3.0789473684210527	117	66	51	0
37	2.972972972972973	110	61	49	0
34	2.9411764705882355	100	60	40	0
37	2.891891891891892	107	60	47	0
39	2.9743589743589745	116	71	45	0
35	3.085714285714286	108	60	48	0
36	3.111111111111111	112	74	37	1
37	2.972972972972973	110	67	43	0
34	3.088235294117647	105	64	41	0
35	3.0285714285714285	106	62	44	0
33	2.9696969696969697	98	57	40	1
38	3.0526315789473686	116	68	48	0
35	3.0	105	61	44	0
38	3.0526315789473686	116	64	52	0
35	2.9714285714285715	104	63	41	0
36	2.9722222222222223	107	62	45	0
36	3.0	108	67	41	0
35	3.057142857142857	107	68	39	0
36	3.0	108	61	47	0
38	3.026315789473684	115	69	46	0
35	2.9714285714285715	104	59	45	0
37	3.0	111	70	41	0
38	2.9473684210526314	112	62	50	0
37	3.0	111	67	44	0
36	3.0	108	65	43	0
37	3.0	111	64	47	0
35	3.0	105	67	38	0
36	3.0277777777777777	109	66	43	0
38	2.973684210526316	113	60	53	0
38	3.026315789473684	115	66	48	1
37	3.0	111	67	44	0
36	3.0277777777777777	109	62	47	0
35	2.9714285714285715	104	63	41	0
37	3.0	111	62	49	0
38	2.973684210526316	113	67	46	0
37	3.0	111	61	50	0
39	2.9743589743589745	116	75	40	1
36	3.0555555555555554	110	69	41	0
38	3.0526315789473686	116	74	41	1
36	3.0277777777777777	109	68	41	0
37	2.945945945945946	109	68	41	0
35	3.085714285714286	108	67	41	0
36	3.0	108	64	44	0
35	2.9714285714285715	104	59	45	0
36	3.0277777777777777	109	60	47	2
33	3.0	99	62	36	1
35	3.057142857142857	107	59	47	1
36	2.9722222222222223	107	62	45	0
35	2.9714285714285715	104	61	43	0
36	3.0	108	56	52	0
35	2.942857142857143	103	59	44	0
36	2.9444444444444446	106	66	40	0
36	2.9722222222222223	107	65	42	0
38	3.0526315789473686	116	65	50	1
37	3.0	111	62	49	0
35	2.942857142857143	103	62	41	0
35	3.0	105	62	43	0
34	3.0	102	63	39	0
37	2.918918918918919	108	60	48	0
37	3.0	111	63	48	0
36	3.0555555555555554	110	68	42	0
38	3.0526315789473686	116	66	50	0
37	2.945945945945946	109	65	43	1
37	3.0	111	68	43	0
34	3.0	102	58	43	1
37	3.027027027027027	112	68	44	0
38	3.026315789473684	115	63	52	0
36	2.9166666666666665	105	63	42	0
37	3.027027027027027	112	66	45	1
37	3.054054054054054	113	63	50	0
37	2.972972972972973	110	61	49	0
35	2.8857142857142857	101	59	42	0
36	3.0555555555555554	110	68	42	0
35	3.0285714285714285	106	63	43	0
39	2.948717948717949	115	70	45	0
34	3.0294117647058822	103	67	36	0
36	3.0277777777777777	109	61	48	0
37	3.0	111	69	41	1
34	3.0294117647058822	103	58	45	0
36	2.9722222222222223	107	67	40	0
36	3.0	108	63	45	0
35	3.0285714285714285	106	62	44	0
36	2.9722222222222223	107	63	44	0
37	2.945945945945946	109	62	47	0
34	3.0	102	58	44	0
35	2.9714285714285715	104	59	45	0
36	2.9722222222222223	107	60	47	0
37	3.0	111	70	41	0
36	3.0277777777777777	109	67	42	0
38	2.973684210526316	113	65	48	0
37	3.027027027027027	112	67	44	1
35	3.057142857142857	107	62	45	0
37	3.027027027027027	112	64	48	0
38	3.0526315789473686	116	73	43	0
35	3.0	105	63	42	0
36	2.9444444444444446	106	65	41	0
39	2.9743589743589745	116	68	48	0
37	3.027027027027027	112	61	51	0
34	3.0	102	57	45	0
37	2.972972972972973	110	62	48	0
35	2.942857142857143	103	62	41	0
